wavelength,throughput
2.55927530652711,9.440700147521665e-07
2.559954767383168,9.701568175692574e-07
2.5606342267962647,9.969015480287142e-07
2.5613136847621836,1.0243345855509645e-06
2.5619931412767083,1.0524540161708545e-06
2.562672596335624,1.0812974317927003e-06
2.563352049934712,1.1108672802515096e-06
2.564031502069755,1.1411880785905424e-06
2.5647109527365646,1.1722660061366848e-06
2.56539040193094,1.2041071569426252e-06
2.5660698496486796,1.2367500539227678e-06
2.5667492958855864,1.2702090729439346e-06
2.5674287406374665,1.3044856601356598e-06
2.568166224706895,1.3396133197114441e-06
2.5688456692324433,1.375605890779084e-06
2.5695251122596967,1.4124967258982822e-06
2.57020455378447,1.4502933301425555e-06
2.570883993802582,1.4890112768106782e-06
2.571563432309845,1.528678715720189e-06
2.572242869302071,1.5693104398286983e-06
2.5729223047751075,1.610936157468607e-06
2.573601738724783,1.6535759586211705e-06
2.57428117114693,1.6972340933548724e-06
2.574960602037382,1.7419456186432068e-06
2.5756400313919774,1.787736875494085e-06
2.576319459206545,1.8346251175870846e-06
2.5769988854769155,1.882624001461581e-06
2.5776783101989547,1.9317746797435975e-06
2.5783577333685113,1.982102816554078e-06
2.579037154981435,2.033609512873629e-06
2.5797165750335775,2.0863261629280407e-06
2.580395993520795,2.140291183261763e-06
2.581075410438932,2.195518257339736e-06
2.5817548257838454,2.2520435474244777e-06
2.5824342395514153,2.3098645219230525e-06
2.5831136517375066,2.369043573335851e-06
2.583793062337989,2.429598016388306e-06
2.584472471348733,2.491553964971672e-06
2.5851518787656143,2.55493975108674e-06
2.5858312845844833,2.619784932360247e-06
2.5865106888012357,2.6861135279301515e-06
2.5871900914117587,2.7539361895261175e-06
2.5878694924119388,2.8233144095053214e-06
2.5885488917976613,2.8942626902795466e-06
2.589228289564817,2.9668352983805813e-06
2.589907685709292,3.041034429093171e-06
2.5905870802269577,3.116905016445171e-06
2.5912664731137403,3.194475656737542e-06
2.5919458643655378,3.273781353966131e-06
2.592625253978254,3.3548630068624957e-06
2.593304641947793,3.4377437669061083e-06
2.5939840282700617,3.5224397563664076e-06
2.594663412940946,3.609027419506495e-06
2.595342795956376,3.6975265261631615e-06
2.5960221773122742,3.7879650506437633e-06
2.596701557004559,3.880375594360164e-06
2.5973809350291495,3.974798247823236e-06
2.598060311381972,4.071281525925699e-06
2.598739686058933,4.169847298970822e-06
2.599419059055959,4.270534914348884e-06
2.6000984303690005,4.373377059014541e-06
2.6007777999939905,4.478441378847304e-06
2.6014571679268643,4.585717763040549e-06
2.6021365341635607,4.695272791022238e-06
2.602815898700008,4.807173954405663e-06
2.603495261532141,4.9214385968423106e-06
2.604174622655928,5.038121595896326e-06
2.604853982067317,5.1572509454272815e-06
2.60553333976226,5.278880132932752e-06
2.6062126957367115,5.403028731940541e-06
2.606892049986617,5.529754098676504e-06
2.6075714025079217,5.6591127964077794e-06
2.608250753296612,5.7911431318228385e-06
2.608930102348653,5.925891324713018e-06
2.6096094496600095,6.0634047652775825e-06
2.610288795226654,6.203721952474413e-06
